# lon lat depth_km normal_kPa shear_kPa coulomb_kPa
# strike 189.000000, dip 62.000000, rake -88.000000
-150.424863 61.198775 33.000000 12.563116 90.259733 95.284979
-150.415446 61.198775 33.000000 13.496919 91.821283 97.220051
-150.406029 61.198775 33.000000 14.360959 93.326585 99.070969
-150.396612 61.198775 33.000000 15.144133 94.771090 100.828743
-150.387194 61.198775 33.000000 15.834815 96.150511 102.484437
-150.377777 61.198775 33.000000 16.420903 97.460907 104.029268
-150.368360 61.198775 33.000000 16.889899 98.698764 105.454724
-150.358943 61.198775 33.000000 17.228998 99.861093 106.752693
-150.349525 61.198775 33.000000 17.425194 100.945521 107.915599
-150.340108 61.198775 33.000000 17.465409 101.950394 108.936558
-150.330691 61.198775 33.000000 17.336639 102.874883 109.809538
-150.321274 61.198775 33.000000 17.026126 103.719085 110.529535
-150.311856 61.198775 33.000000 16.521541 104.484134 111.092750
-150.302439 61.198775 33.000000 15.811197 105.172298 111.496777
-150.293022 61.198775 33.000000 14.884278 105.787077 111.740788
-150.283605 61.198775 33.000000 13.731088 106.333291 111.825726
-150.274187 61.198775 33.000000 12.343312 106.817159 111.754484
-150.264770 61.198775 33.000000 10.714296 107.246356 111.532074
-150.255353 61.198775 33.000000 8.839334 107.630057 111.165790
-150.245936 61.198775 33.000000 6.715960 107.978955 110.665339
-150.236518 61.198775 33.000000 4.344239 108.305255 110.042950
-150.227101 61.198775 33.000000 1.727053 108.622626 109.313448
-150.217684 61.198775 33.000000 -1.129629 108.946133 108.494282
-150.208267 61.198775 33.000000 -4.216504 109.292117 107.605515
-150.198849 61.198775 33.000000 -7.520723 109.678038 106.669749
-150.189432 61.198775 33.000000 -11.025710 110.122274 105.711990
-150.180015 61.198775 33.000000 -14.711046 110.643873 104.759454
-150.170598 61.198775 33.000000 -18.552403 111.262255 103.841294
-150.161180 61.198775 33.000000 -22.521554 111.996879 102.988257
-150.151763 61.198775 33.000000 -26.586459 112.866853 102.232270
-150.142346 61.198775 33.000000 -30.711440 113.890520 101.605944
-150.132929 61.198775 33.000000 -34.857446 115.084999 101.142021
-150.123511 61.198775 33.000000 -38.982418 116.465714 100.872747
-150.114094 61.198775 33.000000 -43.041749 118.045899 100.829200
-150.104677 61.198775 33.000000 -46.988842 119.836105 101.040568
-150.095260 61.198775 33.000000 -50.775759 121.843714 101.533411
-150.085842 61.198775 33.000000 -54.353953 124.072483 102.330902
-150.076425 61.198775 33.000000 -57.675080 126.522119 103.452087
-150.067008 61.198775 33.000000 -60.691856 129.187918 104.911176
-150.057591 61.198775 33.000000 -63.358965 132.060469 106.716883
-150.048173 61.198775 33.000000 -65.633979 135.125439 108.871848
-150.038756 61.198775 33.000000 -67.478276 138.363468 111.372158
-150.029339 61.198775 33.000000 -68.857924 141.750156 114.206986
-150.019922 61.198775 33.000000 -69.744514 145.256179 117.358373
-150.010504 61.198775 33.000000 -70.115906 148.847522 120.801159
-150.001087 61.198775 33.000000 -69.956871 152.485832 124.503083
-149.991670 61.198775 33.000000 -69.259602 156.128893 128.425052
-149.982253 61.198775 33.000000 -68.024082 159.731217 132.521584
-149.972835 61.198775 33.000000 -66.258277 163.244726 136.741415
-149.963418 61.198775 33.000000 -63.978169 166.619531 141.028263
-149.954001 61.198775 33.000000 -61.207597 169.804778 145.321739
-149.944584 61.198775 33.000000 -57.977928 172.749531 149.558360
-149.935166 61.198775 33.000000 -54.327554 175.403696 153.672674
-149.925749 61.198775 33.000000 -50.301230 177.718926 157.598434
-149.916332 61.198775 33.000000 -45.949269 179.649518 161.269810
-149.906915 61.198775 33.000000 -41.326620 181.153248 164.622600
-149.897497 61.198775 33.000000 -36.491852 182.192144 167.595403
-149.888080 61.198775 33.000000 -31.506073 182.733161 170.130732
-149.878663 61.198775 33.000000 -26.431808 182.748753 172.176029
-149.869246 61.198775 33.000000 -21.331887 182.217320 173.684565
-149.859828 61.198775 33.000000 -16.268339 181.123532 174.616197
-149.850411 61.198775 33.000000 -11.301355 179.458509 174.937967
-149.840994 61.198775 33.000000 -6.488316 177.219874 174.624547
-149.831577 61.198775 33.000000 -1.882925 174.411669 173.658499
-149.822159 61.198775 33.000000 2.465546 171.044155 172.030374
-149.812742 61.198775 33.000000 6.512882 167.133492 169.738645
-149.803325 61.198775 33.000000 10.220418 162.701322 166.789489
-149.793908 61.198775 33.000000 13.555388 157.774267 163.196422
-149.784491 61.198775 33.000000 16.491140 152.383366 158.979822
-149.775073 61.198775 33.000000 19.007216 146.563454 154.166340
-149.765656 61.198775 33.000000 21.089308 140.352513 148.788236
-149.756239 61.198775 33.000000 22.729102 133.791009 142.882650
-149.746822 61.198775 33.000000 23.924019 126.921226 136.490834
-149.737404 61.198775 33.000000 24.676870 119.786619 129.657367
-149.727987 61.198775 33.000000 24.995446 112.431191 122.429369
-149.718570 61.198775 33.000000 24.892044 104.898910 114.855728
-149.709153 61.198775 33.000000 24.382967 97.233176 106.986363
-149.699735 61.198775 33.000000 23.487986 89.476334 98.871528
-149.690318 61.198775 33.000000 22.229806 81.669251 90.561173
-149.680901 61.198775 33.000000 20.633520 73.850952 82.104360
-149.671484 61.198775 33.000000 18.726086 66.058314 73.548748
-149.662066 61.198775 33.000000 16.535825 58.325826 64.940156
-149.652649 61.198775 33.000000 14.091938 50.685400 56.322175
-149.643232 61.198775 33.000000 11.424076 43.166244 47.735874
-149.633815 61.198775 33.000000 8.561930 35.794782 39.219555
-149.624397 61.198775 33.000000 5.534881 28.594623 30.808575
-149.614980 61.198775 33.000000 2.371678 21.586566 22.535237
-149.605563 61.198775 33.000000 -0.899828 14.788652 14.428720
-149.596146 61.198775 33.000000 -4.252916 8.216236 6.515069
-149.586728 61.198775 33.000000 -7.662178 1.882092 -1.182779
-149.577311 61.198775 33.000000 -11.103669 -4.203463 -8.644930
-149.567894 61.198775 33.000000 -14.555015 -10.032428 -15.854434
-149.558477 61.198775 33.000000 -17.995492 -15.598970 -22.797167
-149.549059 61.198775 33.000000 -21.406073 -20.899257 -29.461686
-149.539642 61.198775 33.000000 -24.769445 -25.931296 -35.839074
-149.530225 61.198775 33.000000 -28.070008 -30.694767 -41.922770
-149.520808 61.198775 33.000000 -31.293846 -35.190855 -47.708393
-149.511390 61.198775 33.000000 -34.428691 -39.422089 -53.193565
-149.501973 61.198775 33.000000 -37.463863 -43.392183 -58.377729
