# lon lat depth_km normal_kPa shear_kPa coulomb_kPa
# strike 356.000000, dip 49.000000, rake -102.000000
-119.833403 38.241730 34.000000 -1.201931 0.522716 0.041944
-119.830525 38.241730 34.000000 -1.198873 0.549446 0.069896
-119.827646 38.241730 34.000000 -1.195486 0.576568 0.098374
-119.824768 38.241730 34.000000 -1.191765 0.604079 0.127373
-119.821890 38.241730 34.000000 -1.187711 0.631972 0.156888
-119.819011 38.241730 34.000000 -1.183320 0.660241 0.186913
-119.816133 38.241730 34.000000 -1.178591 0.688881 0.217444
-119.813255 38.241730 34.000000 -1.173524 0.717883 0.248473
-119.810376 38.241730 34.000000 -1.168119 0.747240 0.279993
-119.807498 38.241730 34.000000 -1.162375 0.776944 0.311994
-119.804620 38.241730 34.000000 -1.156293 0.806987 0.344470
-119.801741 38.241730 34.000000 -1.149875 0.837358 0.377408
-119.798863 38.241730 34.000000 -1.143122 0.868048 0.410799
-119.795985 38.241730 34.000000 -1.136037 0.899046 0.444631
-119.793106 38.241730 34.000000 -1.128622 0.930341 0.478892
-119.790228 38.241730 34.000000 -1.120882 0.961920 0.513567
-119.787349 38.241730 34.000000 -1.112820 0.993772 0.548644
-119.784471 38.241730 34.000000 -1.104441 1.025882 0.584106
-119.781593 38.241730 34.000000 -1.095751 1.058238 0.619937
-119.778714 38.241730 34.000000 -1.086757 1.090824 0.656121
-119.775836 38.241730 34.000000 -1.077465 1.123626 0.692640
-119.772958 38.241730 34.000000 -1.067884 1.156627 0.729473
-119.770079 38.241730 34.000000 -1.058021 1.189810 0.766602
-119.767201 38.241730 34.000000 -1.047886 1.223160 0.804006
-119.764323 38.241730 34.000000 -1.037489 1.256657 0.841662
-119.761444 38.241730 34.000000 -1.026842 1.290284 0.879547
-119.758566 38.241730 34.000000 -1.015956 1.324021 0.917639
-119.755688 38.241730 34.000000 -1.004842 1.357849 0.955912
-119.752809 38.241730 34.000000 -0.993516 1.391747 0.994341
-119.749931 38.241730 34.000000 -0.981991 1.425694 1.032898
-119.747052 38.241730 34.000000 -0.970281 1.459670 1.071557
-119.744174 38.241730 34.000000 -0.958404 1.493651 1.110289
-119.741296 38.241730 34.000000 -0.946374 1.527615 1.149065
-119.738417 38.241730 34.000000 -0.934211 1.561539 1.187855
-119.735539 38.241730 34.000000 -0.921932 1.595401 1.226628
-119.732661 38.241730 34.000000 -0.909555 1.629175 1.265353
-119.729782 38.241730 34.000000 -0.897102 1.662837 1.303996
-119.726904 38.241730 34.000000 -0.884592 1.696363 1.342527
-119.724026 38.241730 34.000000 -0.872046 1.729729 1.380910
-119.721147 38.241730 34.000000 -0.859487 1.762907 1.419112
-119.718269 38.241730 34.000000 -0.846937 1.795874 1.457099
-119.715391 38.241730 34.000000 -0.834419 1.828603 1.494836
-119.712512 38.241730 34.000000 -0.821956 1.861069 1.532287
-119.709634 38.241730 34.000000 -0.809574 1.893246 1.569417
-119.706756 38.241730 34.000000 -0.797296 1.925109 1.606190
-119.703877 38.241730 34.000000 -0.785148 1.956631 1.642571
-119.700999 38.241730 34.000000 -0.773155 1.987787 1.678525
-119.698120 38.241730 34.000000 -0.761343 2.018552 1.714014
-119.695242 38.241730 34.000000 -0.749738 2.048900 1.749005
-119.692364 38.241730 34.000000 -0.738364 2.078809 1.783463
-119.689485 38.241730 34.000000 -0.727250 2.108252 1.817352
-119.686607 38.241730 34.000000 -0.716419 2.137206 1.850639
-119.683729 38.241730 34.000000 -0.705899 2.165650 1.883290
-119.680850 38.241730 34.000000 -0.695714 2.193559 1.915273
-119.677972 38.241730 34.000000 -0.685890 2.220913 1.946557
-119.675094 38.241730 34.000000 -0.676452 2.247691 1.977110
-119.672215 38.241730 34.000000 -0.667422 2.273874 2.006905
-119.669337 38.241730 34.000000 -0.658826 2.299442 2.035911
-119.666459 38.241730 34.000000 -0.650685 2.324378 2.064104
-119.663580 38.241730 34.000000 -0.643021 2.348667 2.091458
-119.660702 38.241730 34.000000 -0.635854 2.372292 2.117950
-119.657823 38.241730 34.000000 -0.629205 2.395241 2.143559
-119.654945 38.241730 34.000000 -0.623090 2.417501 2.168265
-119.652067 38.241730 34.000000 -0.617527 2.439062 2.192051
-119.649188 38.241730 34.000000 -0.612531 2.459914 2.214902
-119.646310 38.241730 34.000000 -0.608115 2.480051 2.236805
-119.643432 38.241730 34.000000 -0.604291 2.499467 2.257751
-119.640553 38.241730 34.000000 -0.601068 2.518158 2.277731
-119.637675 38.241730 34.000000 -0.598453 2.536122 2.296741
-119.634797 38.241730 34.000000 -0.596452 2.553360 2.314779
-119.631918 38.241730 34.000000 -0.595068 2.569874 2.331846
-119.629040 38.241730 34.000000 -0.594302 2.585667 2.347946
-119.626162 38.241730 34.000000 -0.594151 2.600745 2.363084
-119.623283 38.241730 34.000000 -0.594611 2.615117 2.377272
-119.620405 38.241730 34.000000 -0.595675 2.628792 2.390522
-119.617527 38.241730 34.000000 -0.597332 2.641784 2.402851
-119.614648 38.241730 34.000000 -0.599569 2.654105 2.414277
-119.611770 38.241730 34.000000 -0.602370 2.665771 2.424823
-119.608891 38.241730 34.000000 -0.605717 2.676802 2.434515
-119.606013 38.241730 34.000000 -0.609588 2.687217 2.443382
-119.603135 38.241730 34.000000 -0.613957 2.697037 2.451455
-119.600256 38.241730 34.000000 -0.618797 2.706287 2.458768
-119.597378 38.241730 34.000000 -0.624076 2.714991 2.465361
-119.594500 38.241730 34.000000 -0.629760 2.723176 2.471272
-119.591621 38.241730 34.000000 -0.635812 2.730871 2.476546
-119.588743 38.241730 34.000000 -0.642193 2.738104 2.481227
-119.585865 38.241730 34.000000 -0.648859 2.744908 2.485364
-119.582986 38.241730 34.000000 -0.655765 2.751313 2.489007
-119.580108 38.241730 34.000000 -0.662862 2.757354 2.492209
-119.577230 38.241730 34.000000 -0.670100 2.763062 2.495022
-119.574351 38.241730 34.000000 -0.677425 2.768473 2.497503
-119.571473 38.241730 34.000000 -0.684783 2.773621 2.499708
-119.568595 38.241730 34.000000 -0.692114 2.778541 2.501695
-119.565716 38.241730 34.000000 -0.699361 2.783267 2.503523
-119.562838 38.241730 34.000000 -0.706461 2.787835 2.505251
-119.559959 38.241730 34.000000 -0.713353 2.792278 2.506937
-119.557081 38.241730 34.000000 -0.719974 2.796631 2.508641
-119.554203 38.241730 34.000000 -0.726257 2.800925 2.510422
-119.551324 38.241730 34.000000 -0.732139 2.805193 2.512338
-119.548446 38.241730 34.000000 -0.737553 2.809465 2.514444
-119.545568 38.241730 34.000000 -0.742434 2.813770 2.516797
-119.542689 38.241730 34.000000 -0.746716 2.818136 2.519450
-119.539811 38.241730 34.000000 -0.750335 2.822588 2.522454
-119.536933 38.241730 34.000000 -0.753226 2.827149 2.525859
-119.534054 38.241730 34.000000 -0.755326 2.831841 2.529711
-119.531176 38.241730 34.000000 -0.756574 2.836683 2.534053
-119.528298 38.241730 34.000000 -0.756909 2.841690 2.538926
-119.525419 38.241730 34.000000 -0.756274 2.846876 2.544366
-119.522541 38.241730 34.000000 -0.754613 2.852251 2.550406
-119.519662 38.241730 34.000000 -0.751874 2.857823 2.557074
-119.516784 38.241730 34.000000 -0.748006 2.863597 2.564395
-119.513906 38.241730 34.000000 -0.742963 2.869573 2.572388
-119.511027 38.241730 34.000000 -0.736702 2.875749 2.581069
-119.508149 38.241730 34.000000 -0.729184 2.882121 2.590447
-119.505271 38.241730 34.000000 -0.720372 2.888678 2.600529
-119.502392 38.241730 34.000000 -0.710235 2.895409 2.611314
-119.499514 38.241730 34.000000 -0.698748 2.902298 2.622798
-119.496636 38.241730 34.000000 -0.685887 2.909326 2.634971
-119.493757 38.241730 34.000000 -0.671634 2.916471 2.647817
-119.490879 38.241730 34.000000 -0.655977 2.923707 2.661316
-119.488001 38.241730 34.000000 -0.638909 2.931006 2.675443
-119.485122 38.241730 34.000000 -0.620425 2.938337 2.690167
-119.482244 38.241730 34.000000 -0.600529 2.945663 2.705452
-119.479366 38.241730 34.000000 -0.579227 2.952949 2.721258
-119.476487 38.241730 34.000000 -0.556533 2.960155 2.737542
-119.473609 38.241730 34.000000 -0.532462 2.967237 2.754252
-119.470730 38.241730 34.000000 -0.507039 2.974152 2.771336
-119.467852 38.241730 34.000000 -0.480290 2.980853 2.788737
-119.464974 38.241730 34.000000 -0.452248 2.987292 2.806393
-119.462095 38.241730 34.000000 -0.422949 2.993419 2.824239
-119.459217 38.241730 34.000000 -0.392434 2.999183 2.842209
-119.456339 38.241730 34.000000 -0.360751 3.004532 2.860232
-119.453460 38.241730 34.000000 -0.327947 3.009414 2.878235
-119.450582 38.241730 34.000000 -0.294079 3.013774 2.896143
-119.447704 38.241730 34.000000 -0.259202 3.017560 2.913879
-119.444825 38.241730 34.000000 -0.223378 3.020718 2.931367
-119.441947 38.241730 34.000000 -0.186671 3.023195 2.948526
-119.439069 38.241730 34.000000 -0.149149 3.024938 2.965278
-119.436190 38.241730 34.000000 -0.110881 3.025895 2.981543
-119.433312 38.241730 34.000000 -0.071939 3.026016 2.997241
-119.430433 38.241730 34.000000 -0.032397 3.025252 3.012293
-119.427555 38.241730 34.000000 0.007668 3.023554 3.026621
-119.424677 38.241730 34.000000 0.048181 3.020877 3.040149
-119.421798 38.241730 34.000000 0.089063 3.017176 3.052802
-119.418920 38.241730 34.000000 0.130235 3.012411 3.064505
-119.416042 38.241730 34.000000 0.171617 3.006540 3.075187
-119.413163 38.241730 34.000000 0.213131 2.999529 3.084781
-119.410285 38.241730 34.000000 0.254697 2.991342 3.093220
-119.407407 38.241730 34.000000 0.296236 2.981948 3.100442
-119.404528 38.241730 34.000000 0.337671 2.971319 3.106387
-119.401650 38.241730 34.000000 0.378924 2.959430 3.111000
-119.398772 38.241730 34.000000 0.419921 2.946259 3.114228
-119.395893 38.241730 34.000000 0.460586 2.931788 3.116022
-119.393015 38.241730 34.000000 0.500848 2.916000 3.116340
-119.390137 38.241730 34.000000 0.540637 2.898885 3.115140
-119.387258 38.241730 34.000000 0.579884 2.880433 3.112386
-119.384380 38.241730 34.000000 0.618525 2.860638 3.108048
-119.381501 38.241730 34.000000 0.656495 2.839500 3.102098
-119.378623 38.241730 34.000000 0.693736 2.817019 3.094514
-119.375745 38.241730 34.000000 0.730190 2.793201 3.085277
-119.372866 38.241730 34.000000 0.765803 2.768053 3.074374
-119.369988 38.241730 34.000000 0.800523 2.741586 3.061795
-119.367110 38.241730 34.000000 0.834303 2.713815 3.047536
-119.364231 38.241730 34.000000 0.867097 2.684756 3.031595
-119.361353 38.241730 34.000000 0.898865 2.654431 3.013977
-119.358475 38.241730 34.000000 0.929569 2.622862 2.994689
-119.355596 38.241730 34.000000 0.959174 2.590074 2.973743
-119.352718 38.241730 34.000000 0.987648 2.556095 2.951155
-119.349840 38.241730 34.000000 1.014965 2.520957 2.926943
-119.346961 38.241730 34.000000 1.041099 2.484691 2.901131
-119.344083 38.241730 34.000000 1.066030 2.447334 2.873746
-119.341204 38.241730 34.000000 1.089739 2.408920 2.844816
-119.338326 38.241730 34.000000 1.112213 2.369490 2.814375
-119.335448 38.241730 34.000000 1.133438 2.329082 2.782458
-119.332569 38.241730 34.000000 1.153408 2.287740 2.749103
-119.329691 38.241730 34.000000 1.172117 2.245505 2.714352
-119.326813 38.241730 34.000000 1.189561 2.202423 2.678248
-119.323934 38.241730 34.000000 1.205741 2.158538 2.640835
-119.321056 38.241730 34.000000 1.220661 2.113897 2.602161
-119.318178 38.241730 34.000000 1.234326 2.068546 2.562276
-119.315299 38.241730 34.000000 1.246743 2.022532 2.521230
-119.312421 38.241730 34.000000 1.257923 1.975904 2.479073
-119.309543 38.241730 34.000000 1.267878 1.928710 2.435861
-119.306664 38.241730 34.000000 1.276623 1.880997 2.391646
-119.303786 38.241730 34.000000 1.284174 1.832815 2.346484
-119.300908 38.241730 34.000000 1.290550 1.784210 2.300430
-119.298029 38.241730 34.000000 1.295770 1.735232 2.253540
-119.295151 38.241730 34.000000 1.299856 1.685927 2.205870
-119.292272 38.241730 34.000000 1.302832 1.636343 2.157476
-119.289394 38.241730 34.000000 1.304721 1.586527 2.108415
-119.286516 38.241730 34.000000 1.305549 1.536524 2.058744
