date-time, latitude, longitude, depth, RMS, Nphs, Gap, Dist, errH, errZ, Mamp, Mdur, expect_lat, expect_lon, expect_z, EllipsoidAz1, EllipsoidDip1, EllipsoidLen1, EllipsoidAz2, EllipsoidDip2, EllipsoidLen2, EllipsoidLen3, EllipseAz1, EllipseDip1, EllipseLen1, EllipseAz2, EllipseDip2, EllipseLen2, publicId
2004-09-29T17:16:04.5061, 35.9091, -120.4619, 4.9329, 0.0144961, 6, 204.0, 4.99767, 0.0516419, 0.080559835, 1.09, -9.9, 35.9091, -120.4620, 4.9231, 259.224, 7.43299, 0.0497367, 167.94, 9.74611, 0.0624039, 0.1013603, 264.54, 0.0, 0.0410658, 174.54, 0.0, 0.0516419, 21401176
2004-09-29T17:18:53.7262, 35.8975, -120.4496, 4.0892, 0.0301711, 21, 52.0, 4.37663, 0.0411623, 0.09829325, 1.39, -9.9, 35.8974, -120.4495, 4.0777, 99.118, -2.14741, 0.0457969, 8.910420000000002, -5.51933, 0.0498064, 0.1223189, 104.3941, 0.0, 0.0370879, 14.3941, 0.0, 0.0411623, 21401178
2004-09-29T17:18:25.8075, 35.9696, -120.5298, 6.0939, 0.0392202, 11, 72.0, 1.82171, 0.0258483, 0.032471854, 1.08, -9.9, 35.9696, -120.5299, 6.0876, 84.8827, 8.44704, 0.0234438, 177.599, 17.7015, 0.0308378, 0.04140016, 260.737, 0.0, 0.019285, 170.737, 0.0, 0.0258483, 30229598
2004-09-29T17:19:58.0506, 35.9239, -120.4797, 3.8267, 0.0145501, 16, 91.0, 3.25339, 0.0166036, 0.034319125, 1.19, -9.9, 35.9239, -120.4796, 3.8094, 91.3437, -0.422231, 0.0131691, 1.3347100000000012, -1.22562, 0.0205541, 0.04252523, 91.39388, 0.0, 0.0106327, 1.39388, 0.0, 0.0166036, 30229597
2004-09-29T17:29:51.0091, 35.9279, -120.4843, 4.0640, 0.0273371, 25, 47.0, 2.76086, 0.0183807, 0.031088125, 1.92, -9.9, 35.9279, -120.4843, 4.0689, 43.6958, 6.96057, 0.0185801, 315.379, -13.5321, 0.0212293, 0.03952266, 212.532, 0.0, 0.0152321, 122.532, 0.0, 0.0183807, 21401184
2004-09-29T17:42:36.0982, 35.9845, -120.5387, 9.0067, 0.0565462, 36, 52.0, 1.62008, 0.063781, 0.057059918, 2.11, -9.9, 35.9843, -120.5387, 9.0123, 88.9118, 2.48173, 0.0478067, 196.543, 81.8567, 0.0705593, 0.07916434, 268.804, 0.0, 0.038632, 178.804, 0.0, 0.063781, 21401207
2004-09-29T17:45:24.6634, 35.9408, -120.4944, 9.2835, 0.0346761, 13, 97.0, 1.74937, 0.0736393, 0.093974315, 1.06, -9.9, 35.9408, -120.4944, 9.2798, 84.7077, 6.57552, 0.0701804, 176.524, 15.3702, 0.0887009, 0.1187989, 261.501, 0.0, 0.057246, 171.501, 0.0, 0.0736393, 21401208
2004-09-29T17:48:46.8256, 35.9411, -120.4942, 9.3890, 0.0469428, 19, 98.0, 1.72354, 0.0756849, 0.10574292, 1.44, -9.9, 35.9411, -120.4942, 9.3548, 78.8467, 7.34418, 0.0722269, 170.434, 12.1284, 0.0913771, 0.133353, 254.618, 0.0, 0.059298, 164.618, 0.0, 0.0756849, 21401211
2004-09-29T17:57:32.9006, 35.9696, -120.5298, 6.0939, 0.0201549, 10, 119.0, 2.40156, 0.0244003, 0.02898865, 1.05, -9.9, 35.9696, -120.5298, 6.0857, 268.203, -5.88054, 0.0208199, 359.454, -11.9727, 0.0299209, 0.03629291, 267.131, 0.0, 0.0169777, 177.131, 0.0, 0.0244003, 21401217
2004-09-29T18:16:23.5487, 35.8563, -120.4081, 4.9337, 0.0176884, 14, 83.0, 2.3998, 0.0359146, 0.057154562, 1.45, -9.9, 35.8563, -120.4082, 4.9241, 84.4496, -5.49888, 0.0283367, 353.516, -9.60977, 0.0434242, 0.07172363, 267.048, 0.0, 0.0233897, 177.048, 0.0, 0.0359146, 21400652
2004-09-29T18:21:55.6390, 35.9091, -120.4619, 4.9066, 0.0262713, 13, 79.0, 4.32577, 0.100889, 0.14164089, 1.1, -9.9, 35.9092, -120.4623, 4.8738, 198.113, 21.8962, 0.0798116, 296.735, 20.4535, 0.0904249, 0.1978024, 160.9234, 0.0, 0.068775, 70.9234, 0.0, 0.100889, 21400662
2004-09-29T18:33:05.8658, 35.9047, -120.4578, 4.7492, 0.048551, 37, 40.0, 2.74877, 0.0392149, 0.059892237, 2.22, -9.9, 35.9046, -120.4578, 4.7382, 258.829, -0.330046, 0.0295523, 348.911, -13.9943, 0.0463884, 0.07558993, 258.643, 0.0, 0.0238563, 168.643, 0.0, 0.0392149, 21400674
2004-09-29T18:35:07.7329, 35.9223, -120.4777, 4.1427, 0.220789, 10, 90.0, 3.47095, 0.0185794, 0.031826694, 1.04, -9.9, 35.9223, -120.4777, 4.1404, 247.996, -3.35491, 0.0184913, 338.398, -6.82007, 0.022683, 0.03967111, 245.714, 0.0, 0.0150104, 155.714, 0.0, 0.0185794, 21400671
2004-09-29T18:35:47.2575, 35.8004, -120.3541, 9.4153, 0.0741173, 14, 101.0, 3.3819, 0.0703931, 0.10426109, 1.41, -9.9, 35.8005, -120.3539, 9.4135, 85.0961, -7.15215, 0.053324, 353.464, -12.7876, 0.0841023, 0.1319707, 268.623, 0.0, 0.0445355, 178.623, 0.0, 0.0703931, 30500781
2004-09-29T18:39:41.8417, 35.9826, -120.5378, 9.5983, 0.034801, 9, 96.0, 2.14173, 0.126678, 0.14015329, 1.06, -9.9, 35.9825, -120.5379, 9.5887, 262.161, -8.24913, 0.093794, 353.654, -10.1891, 0.156281, 0.1754996, 261.562, 0.0, 0.0776096, 171.562, 0.0, 0.126678, 21400672
2004-09-29T18:45:14.4417, 35.9223, -120.4776, 4.1613, 0.0268111, 15, 90.0, 3.47377, 0.0181488, 0.027424736, 1.19, -9.9, 35.9223, -120.4777, 4.1499, 252.567, -5.76086, 0.0177989, 343.377, -7.96943, 0.0221751, 0.03429501, 249.556, 0.0, 0.014548, 159.556, 0.0, 0.0181488, 21400677
2004-09-29T18:51:44.9045, 35.9567, -120.5134, 11.6022, 0.062665, 8, 107.0, 2.60395, 0.09669, 0.11038708, 1.06, -9.9, 35.9567, -120.5134, 11.6029, 270.783, -10.9812, 0.0677534, 5.0608, -21.0286, 0.115905, 0.1418712, 268.091, 0.0, 0.0576531, 178.091, 0.0, 0.09669, 21401275
2004-09-29T18:56:40.9003, 35.8505, -120.4057, 6.2908, 0.164686, 24, 53.0, 1.71387, 0.757526, 0.1165242, 1.95, -9.9, 35.8486, -120.4035, 6.3144, 180.43, 15.8773, 0.0903896, 344.668, 73.5354, 0.129283, 0.9410085, 179.2307, 0.0, 0.0757783, 89.2307, 0.0, 0.757526, 21401279
2004-09-29T18:59:59.8022, 35.7910, -120.3432, 8.9803, 0.0333635, 36, 47.0, 4.53253, 0.0493998, 0.066600785, 2.03, -9.9, 35.7910, -120.3433, 8.9659, 85.5508, -9.04229, 0.0412146, 352.725, -17.2124, 0.0581227, 0.08537111, 90.78569, 0.0, 0.0343596, 0.785692, 0.0, 0.0493998, 21400682
2004-09-29T19:03:58.8690, 35.9651, -120.5216, 9.6790, 0.149278, 17, 88.0, 1.7915, 0.0438584, 0.05182672, 1.1, -9.9, 35.9652, -120.5217, 9.6430, 320.044, -23.6251, 0.0497597, 226.726, -7.53658, 0.0535544, 0.06686014, 169.4791, 0.0, 0.0422501, 79.4791, 0.0, 0.0438584, 21400683
2004-09-29T19:05:12.0334, 35.9414, -120.4957, 8.4661, 0.0498987, 42, 36.0, 1.67914, 0.0589343, 0.06480178, 2.32, -9.9, 35.9415, -120.4957, 8.4723, 54.7178, -5.82786, 0.0641302, 142.209, 23.2134, 0.0711777, 0.08203961, 237.666, 0.0, 0.0518982, 147.666, 0.0, 0.0589343, 21400687
2004-09-29T19:14:31.7645, 35.9560, -120.5139, 7.4254, 0.0389935, 34, 49.0, 1.38668, 0.0286513, 0.030756576, 1.56, -9.9, 35.9560, -120.5140, 7.4219, 267.342, -8.60386, 0.0256465, 0.4209720000000061, -19.5464, 0.035048, 0.03874637, 266.066, 0.0, 0.0209813, 176.066, 0.0, 0.0286513, 21400690
2004-09-29T19:15:49.8762, 35.9253, -120.4813, 4.0113, 0.0323371, 53, 38.0, 1.71704, 0.0180834, 0.025064036, 2.16, -9.9, 35.9253, -120.4813, 4.0086, 50.4776, 3.34332, 0.0190983, 321.148, -11.3205, 0.0219587, 0.0313954, 228.078, 0.0, 0.0154541, 138.078, 0.0, 0.0180834, 30228321
2004-09-29T19:29:14.6558, 35.9570, -120.5132, 11.6566, 0.042863, 7, 94.0, 1.55451, 0.0809088, 0.09469163, 1.07, -9.9, 35.9568, -120.5133, 11.6280, 89.095, 9.95572, 0.0571983, 181.932, 15.747, 0.0983745, 0.1201954, 267.156, 0.0, 0.0483471, 177.156, 0.0, 0.0809088, 21400701
2004-09-29T19:32:20.1330, 35.9560, -120.5137, 7.4510, 0.0599571, 18, 89.0, 1.5988, 0.0601592, 0.06332114, 1.3, -9.9, 35.9559, -120.5137, 7.4447, 90.7431, 5.84861, 0.051598, 184.88, 35.1588, 0.0700179, 0.08270116, 268.874, 0.0, 0.0419115, 178.874, 0.0, 0.0601592, 21400702
2004-09-29T19:40:30.6650, 35.8084, -120.3632, 9.7845, 0.03601, 14, 89.0, 8.86099, 0.0631049, 0.08651805, 1.01, -9.9, 35.8084, -120.3632, 9.7798, 271.225, 4.47754, 0.0614839, 179.612, 19.7792, 0.0726928, 0.1111293, 95.63377, 0.0, 0.0498499, 5.63377, 0.0, 0.0631049, 30228833
2004-09-29T19:43:21.6692, 35.7876, -120.3404, 9.0017, 0.506788, 14, 80.0, 4.94937, 0.515847, 0.25581706, 1.09, -9.9, 35.7864, -120.3386, 9.0431, 352.884, -16.9673, 0.208453, 2.1817900000000066, 72.82, 0.324117, 0.6395669, 173.5573, 0.0, 0.178146, 83.5573, 0.0, 0.515847, 21400708
2004-09-29T19:50:18.1765, 35.8538, -120.4030, 3.8123, 0.017559, 9, 77.0, 1.99885, 0.0589054, 0.12163301, 1.28, -9.9, 35.8536, -120.4030, 3.8240, 80.7094, -10.0897, 0.0567466, 349.83, -4.92919, 0.0716483, 0.1531767, 91.33376, 0.0, 0.049659, 1.33376, 0.0, 0.0589054, 21400711
2004-09-29T19:52:43.8111, 35.9235, -120.4790, 3.9207, 0.0491854, 14, 112.0, 1.61079, 0.0182055, 0.038120706, 1.17, -9.9, 35.9235, -120.4791, 3.9202, 80.084, -2.08051, 0.0176859, 349.96, -3.40112, 0.0224165, 0.04731783, 261.191, 0.0, 0.0143319, 171.191, 0.0, 0.0182055, 21400715
2004-09-29T20:01:51.6649, 35.9846, -120.5384, 9.0182, 0.0681747, 10, 137.0, 4.78309, 0.103869, 0.14073433, 1.1, -9.9, 35.9848, -120.5381, 9.0048, 94.3939, -8.20975, 0.0818387, 5.707660000000004, 9.02934, 0.127147, 0.1768368, 92.32934, 0.0, 0.0683913, 2.32934, 0.0, 0.103869, 21400726
2004-09-29T20:16:14.3601, 35.9560, -120.5137, 7.4510, 0.0783188, 26, 60.0, 2.82052, 0.0500325, 0.057089332, 1.94, -9.9, 35.9560, -120.5138, 7.4376, 91.8843, 7.38538, 0.0439475, 185.626, 26.7263, 0.0583972, 0.07402181, 268.575, 0.0, 0.0358884, 178.575, 0.0, 0.0500325, 21401292
2004-09-29T20:20:50.3309, 35.9347, -120.4914, 4.4847, 0.0400687, 14, 95.0, 2.15099, 0.0466927, 0.07737313, 1.03, -9.9, 35.9346, -120.4913, 4.4796, 73.1867, 12.4965, 0.0475519, 165.1, 8.56559, 0.0559684, 0.09839095, 237.18, 0.0, 0.0406824, 147.18, 0.0, 0.0466927, 21400734
2004-09-29T20:27:32.9581, 35.8042, -120.3576, 8.9918, 0.0356345, 17, 87.0, 2.98157, 0.0790364, 0.12975237, 1.01, -9.9, 35.8042, -120.3576, 8.9954, 253.667, 9.52345, 0.0626979, 163.059, 3.61568, 0.0975265, 0.1628658, 255.708, 0.0, 0.0543955, 165.708, 0.0, 0.0790364, 21401293
