>	GMT_LONLAT										
>#	Data	from	the	full	resolution	GMT	shoreline,	borders,	and	rivers	database
>	Shore	Bin	#	18957,	Level	1					
-122.366506447	38	0	0								
-122.36630808	37.9974670024	0	0								
-122.365026322	37.9962157626	0	0								
-122.363363088	37.9962005035	0	0								
-122.362523842	37.9953917754	0	0								
-122.361699855	37.9953917754	0	0								
-122.359609369	37.9933318074	0	0								
-122.360494392	37.9925230793	0	0								
-122.360494392	37.9907988098	0	0								
-122.361272602	37.9900053407	0	0								
-122.361272602	37.9875028611	0	0								
-122.362142367	37.9866330968	0	0								
-122.362142367	37.9858396277	0	0								
-122.364614328	37.9833371481	0	0								
-122.364644846	37.9816128786	0	0								
-122.367116808	37.9791714351	0	0								
-122.367162585	37.9783016709	0	0								
-122.369161517	37.9762569619	0	0								
-122.370916304	37.976272221	0	0								
-122.371725032	37.9754177157	0	0								
-122.375829709	37.9754482338	0	0								
-122.376699474	37.9762569619	0	0								
-122.377553979	37.9762569619	0	0								
-122.378423743	37.9770504311	0	0								
-122.383413443	37.9770809491	0	0								
-122.384222171	37.9762264439	0	0								
-122.3850309	37.9762264439	0	0								
-122.385442893	37.9758297093	0	0								
-122.385503929	37.9733119707	0	0								
-122.385885405	37.9729152361	0	0								
-122.387579156	37.9729152361	0	0								
-122.387914855	37.9724727245	0	0								
-122.387975891	37.9716639963	0	0								
-122.389166094	37.9704127565	0	0								
-122.395025559	37.9703822385	0	0								
-122.3959411	37.9695887694	0	0								
-122.400885023	37.9695582513	0	0								
-122.401281758	37.9691615167	0	0								
-122.401281758	37.9683680476	0	0								
-122.400503548	37.9674982834	0	0								
-122.400411994	37.96583505	0	0								
-122.400061036	37.9654383154	0	0								
-122.399191272	37.9654230564	0	0								
-122.39874876	37.9649652857	0	0								
-122.398809796	37.9641718166	0	0								
-122.39671931	37.9620355535	0	0								
-122.395025559	37.9620355535	0	0								
-122.394583047	37.961638819	0	0								
-122.394613565	37.9583123522	0	0								
-122.393774319	37.957503624	0	0								
-122.394201572	37.9570611124	0	0								
-122.395086595	37.9579156176	0	0								
-122.395864805	37.9579156176	0	0								
-122.39671931	37.9587243458	0	0								
-122.399191272	37.9587243458	0	0								
-122.399618524	37.9582818341	0	0								
-122.399618524	37.957473106	0	0								
-122.399191272	37.9570763714	0	0								
-122.398413062	37.9570763714	0	0								
-122.396246281	37.9550011444	0	0								
-122.396246281	37.9541313802	0	0								
-122.39671931	37.9537499046	0	0								
-122.397558556	37.9537499046	0	0								
-122.398367285	37.9528953994	0	0								
-122.39922179	37.9528953994	0	0								
-122.400106813	37.9537499046	0	0								
-122.400885023	37.9537499046	0	0								
-122.401663233	37.9545586328	0	0								
-122.402532998	37.9545891508	0	0								
-122.403387503	37.95538262	0	0								
-122.405050736	37.95538262	0	0								
-122.405828946	37.9562523842	0	0								
