# lon lat depth_km normal_kPa shear_kPa coulomb_kPa
# strike 140.000000, dip 89.900000, rake 180.000000
-120.894866 35.539640 30.500000 2.663681 3.289129 4.354602
-120.889306 35.539640 30.500000 2.912118 3.305469 4.470316
-120.883745 35.539640 30.500000 3.170179 3.317681 4.585752
-120.878184 35.539640 30.500000 3.438041 3.325426 4.700643
-120.872623 35.539640 30.500000 3.715870 3.328351 4.814699
-120.867062 35.539640 30.500000 4.003814 3.326085 4.927610
-120.861502 35.539640 30.500000 4.302007 3.318241 5.039044
-120.855941 35.539640 30.500000 4.610564 3.304420 5.148646
-120.850380 35.539640 30.500000 4.929580 3.284205 5.256037
-120.844819 35.539640 30.500000 5.259128 3.257165 5.360816
-120.839258 35.539640 30.500000 5.599253 3.222856 5.462557
-120.833697 35.539640 30.500000 5.949975 3.180818 5.560808
-120.828137 35.539640 30.500000 6.311284 3.130582 5.655096
-120.822576 35.539640 30.500000 6.683137 3.071663 5.744918
-120.817015 35.539640 30.500000 7.065453 3.003570 5.829751
-120.811454 35.539640 30.500000 7.458116 2.925800 5.909046
-120.805893 35.539640 30.500000 7.860968 2.837842 5.982229
-120.800332 35.539640 30.500000 8.273806 2.739182 6.048704
-120.794772 35.539640 30.500000 8.696381 2.629300 6.107852
-120.789211 35.539640 30.500000 9.128392 2.507675 6.159032
-120.783650 35.539640 30.500000 9.569487 2.373789 6.201584
-120.778089 35.539640 30.500000 10.019257 2.227126 6.234829
-120.772528 35.539640 30.500000 10.477236 2.067178 6.258073
-120.766968 35.539640 30.500000 10.942893 1.893448 6.270605
-120.761407 35.539640 30.500000 11.415636 1.705451 6.271706
-120.755846 35.539640 30.500000 11.894804 1.502724 6.260646
-120.750285 35.539640 30.500000 12.379669 1.284823 6.236690
-120.744724 35.539640 30.500000 12.869429 1.051333 6.199104
-120.739163 35.539640 30.500000 13.363212 0.801870 6.147154
-120.733603 35.539640 30.500000 13.860071 0.536087 6.080115
-120.728042 35.539640 30.500000 14.358983 0.253680 5.997273
-120.722481 35.539640 30.500000 14.858848 -0.045607 5.897932
-120.716920 35.539640 30.500000 15.358494 -0.361978 5.781419
-120.711359 35.539640 30.500000 15.856670 -0.695576 5.647092
-120.705798 35.539640 30.500000 16.352050 -1.046477 5.494343
-120.700238 35.539640 30.500000 16.843238 -1.414688 5.322607
-120.694677 35.539640 30.500000 17.328767 -1.800137 5.131370
-120.689116 35.539640 30.500000 17.807099 -2.202666 4.920174
-120.683555 35.539640 30.500000 18.276638 -2.622030 4.688626
-120.677994 35.539640 30.500000 18.735727 -3.057885 4.436406
-120.672434 35.539640 30.500000 19.182653 -3.509787 4.163274
-120.666873 35.539640 30.500000 19.615662 -3.977185 3.869080
-120.661312 35.539640 30.500000 20.032957 -4.459416 3.553767
-120.655751 35.539640 30.500000 20.432712 -4.955700 3.217385
-120.650190 35.539640 30.500000 20.813078 -5.465139 2.860092
-120.644629 35.539640 30.500000 21.172196 -5.986711 2.482168
