# lon lat depth_km normal_kPa shear_kPa coulomb_kPa
# strike 140.000000, dip 89.900000, rake 180.000000
-120.894866 35.539640 23.000000 0.255860 1.316934 1.419278
-120.889306 35.539640 23.000000 0.329168 1.334258 1.465925
-120.883745 35.539640 23.000000 0.405746 1.350836 1.513134
-120.878184 35.539640 23.000000 0.485692 1.366583 1.560860
-120.872623 35.539640 23.000000 0.569102 1.381410 1.609051
-120.867062 35.539640 23.000000 0.656074 1.395221 1.657651
-120.861502 35.539640 23.000000 0.746702 1.407916 1.706596
-120.855941 35.539640 23.000000 0.841082 1.419387 1.755820
-120.850380 35.539640 23.000000 0.939306 1.429523 1.805246
-120.844819 35.539640 23.000000 1.041466 1.438207 1.854793
-120.839258 35.539640 23.000000 1.147649 1.445313 1.904373
-120.833697 35.539640 23.000000 1.257941 1.450713 1.953890
-120.828137 35.539640 23.000000 1.372423 1.454271 2.003240
-120.822576 35.539640 23.000000 1.491171 1.455843 2.052311
-120.817015 35.539640 23.000000 1.614258 1.455281 2.100984
-120.811454 35.539640 23.000000 1.741749 1.452431 2.149130
-120.805893 35.539640 23.000000 1.873703 1.447130 2.196611
-120.800332 35.539640 23.000000 2.010174 1.439211 2.243281
-120.794772 35.539640 23.000000 2.151204 1.428500 2.288982
-120.789211 35.539640 23.000000 2.296828 1.414818 2.333549
-120.783650 35.539640 23.000000 2.447071 1.397978 2.376807
-120.778089 35.539640 23.000000 2.601946 1.377789 2.418567
-120.772528 35.539640 23.000000 2.761454 1.354053 2.458635
-120.766968 35.539640 23.000000 2.925583 1.326570 2.496803
-120.761407 35.539640 23.000000 3.094307 1.295131 2.532853
-120.755846 35.539640 23.000000 3.267582 1.259526 2.566559
-120.750285 35.539640 23.000000 3.445350 1.219540 2.597680
-120.744724 35.539640 23.000000 3.627534 1.174956 2.625970
-120.739163 35.539640 23.000000 3.814036 1.125553 2.651168
-120.733603 35.539640 23.000000 4.004739 1.071111 2.673006
-120.728042 35.539640 23.000000 4.199503 1.011406 2.691207
-120.722481 35.539640 23.000000 4.398163 0.946218 2.705484
-120.716920 35.539640 23.000000 4.600533 0.875327 2.715540
-120.711359 35.539640 23.000000 4.806397 0.798514 2.721073
-120.705798 35.539640 23.000000 5.015512 0.715569 2.721774
-120.700238 35.539640 23.000000 5.227607 0.626283 2.717326
-120.694677 35.539640 23.000000 5.442379 0.530457 2.707409
-120.689116 35.539640 23.000000 5.659497 0.427901 2.691700
-120.683555 35.539640 23.000000 5.878592 0.318436 2.669873
-120.677994 35.539640 23.000000 6.099265 0.201896 2.641602
-120.672434 35.539640 23.000000 6.321081 0.078131 2.606563
-120.666873 35.539640 23.000000 6.543569 -0.052993 2.564435
-120.661312 35.539640 23.000000 6.766223 -0.191586 2.514903
-120.655751 35.539640 23.000000 6.988499 -0.337738 2.457662
-120.650190 35.539640 23.000000 7.209815 -0.491511 2.392415
